loan_word,original_word,generated_context,reference_sentence,translated_sentence,reference_word,label,bleu_score,meteor_score,false_loanword_model,false_loanword,sim_eng_ger,similarity_word_eng_ger,fl_ger
Freikorps,Freikorps,"Der Freikorps, der 1945 in Bayern aufgetaucht war, verfolgte eine gewisse Ziele, die von den Nazis vereinbart worden waren.","The Free Corps, which had appeared in Bavaria in 1945, had a certain goal, which had been agreed upon by the Nazis.","The Freikorps, which emerged in Bavaria in 1945, pursued certain goals that were agreed upon by the Nazis.",Free corps,loan,0.344601789720752,0.5354616769547325,[],The Freikorps,"[0.6737993, 0.7951908]",[],[]
Brem,Brem,"Der Fußballspieler schlug den Ball mit der Brem, um ihn vor dem Gegner zu verhindern.",The footballer beat the ball with the Brem to prevent it from the opponent.,"Der Fußballspieler schlug den Ball mit der Brem, um ihn vor dem Gegner zu verhindern.",Brem,loan,0.0271966527217491,0.0354609929078014,[],Der,"[0.43380702, 0.6820395]",[],[]
Roggenkamp,Roggenkamp,"Der kleine Roggenkamp aus dem Wald rannte schnell davon, um die verloren gegangene Mutter zu suchen.",The little rye camp from the forest quickly ran away to look for the lost mother.,The little rogenkamp ran quickly away from the forest in search of his lost mother.,Roggenkamp,loan,0.1769606112831128,0.4319351317636052,['rogenkamp'],rogenkamp,"[0.6080017, 0.6609583]","[[0.6080017, 0.6609583]]",['rogenkamp']
eosinophil,eosinophil,"Der Arzt beurteilte den Patienten sorgfältig, um zu bestimmen, ob er an einer eosinophilen Urtikaria leidet.",The doctor carefully assessed the patient to determine whether he was suffering from eosinophilic urticaria.,The doctor carefully examined the patient to determine if he suffered from eosinophilic urticaria.,eosinophil,loan,0.3870605144677149,0.7904548844146162,['doctor'],eosinophilic,"[0.740283, 0.7563217]","[[0.2583787, 0.7717022]]",['doctor']
meld,melden,"Der Hund meldet, dass er einen Katzenkäfer gefunden hat.",The dog reports he found a cat beetle.,The dog reports that he has found a beetle catfish.,Report,loan,0.1972940627795883,0.6859756097560975,"['reports', 'catfish.']",beetle,"[0.17563161, 0.39912722]","[[0.4187499, 0.5728524], [0.25974554, 0.39799798]]","['reports', 'catfish.']"
Zilch,Zilch,"Der Kunde bestellte ein Essen, das so lecker war, dass man sagen könnte, es sei Zilch.",The customer ordered a meal that was so tasty that you could say it was a zilch.,The customer ordered a meal that was so delicious it could be said that it's zero.,Zilch,loan,0.4321219739263301,0.5602810650887574,"['meal', 'it']",zero,"[0.32001656, 0.7439562]","[[0.28745788, 0.6950661], [0.3219964, 0.6707194]]","['meal', 'it']"
hefeweizen,Hefeweizen,"Der Biermann trank ein Hefeweizen-Pilsner, um die Wärme des Tages zu verdrängen.",The beer man drank a yeast-wheat-pilsner to suppress the warmth of the day.,The beer man drank a wheat pilsner to warm up for the day.,Yeast wheat,loan,0.3661926362999428,0.576923076923077,"['beer', 'drank', 'pilsner']",Wheat,"[0.32331076, 0.8979771]","[[0.27544868, 0.8179618], [0.33233094, 0.7482369], [0.39289534, 0.8284792]]","['beer', 'drank', 'pilsner']"
Christlieb,Christlieb,"Der Christlieb fuhr durch die fröhliche Straße, um die Schönheit Berlins zu genießen.",Christlieb drove through the merry street to enjoy the beauty of Berlin.,The Christlieb took a joyful road through Berlin's beautiful streets in order to enjoy its beauty.,Christian Love,loan,0.0601960876870565,0.3867676102699144,"['christlieb', 'joyful']",false loanword,"[0, 0]","[[0.6748273, 0.6748273], [0.44550157, 0.6988067]]",['joyful']
Klotzer,Klötzer,"Der Klötzer aus der Nähe des Waldes war ein ruhiger Ort, um sich zu entspannen und die Natur zu genießen.",The Klötzer from the vicinity of the forest was a quiet place to relax and enjoy nature.,The Klötzer is a farmer from near the forest was a peaceful place to relax and enjoy nature.,Blocks,loan,0.4790714250659132,0.738606872210111,[],The,"[0.34034106, 0.5592115]",[],[]
Widder,Widder,Die Widder im Wald sang leise Lieder.,The Aries in the forest sang soft songs.,The Wild Hunt,Aries,loan,0.0372389382879869,0.0666666666666666,[],The,"[0.09673996, 0.41167045]",[],[]
Karrer,Gallier,Der Gallier führte die Fußballmannschaft auf die Vizeeuropameisterschaft nach Athen.,The Gauls led the football team to the vice-European championship in Athens.,"The Gallier is a French term for a footballer, and Vizeeuropameisterschaft is German for European Championship.",Gauls,hard_negative,0.0255404966647159,0.0403225806451612,"['gallier', 'french']",Vizeeuropameisterschaft,"[0.24517617, 0.70556986]","[[0.67593014, 0.67593014], [0.36327755, 0.6551608]]",['french']
Garrelts,Garrelts,Der Hund fressen Garrelts auf dem Balkon.,The dog eats Garrelts on the balcony.,The dog is eating garrels on the balcony.,Garrels,loan,0.3549481056010053,0.7922535211267605,['garrels'],garrels,"[0.5506898, 0.68262863]","[[0.5506898, 0.68262863]]",['garrels']
Hamler,fällen,"Der Hund versuchte, den Katzenwurm zu fällen, aber er fiel auf die Füße.","The dog tried to cut the catworm, but he fell on his feet.",The dog tried to catch the cat snake but fell on its feet.,cases,hard_negative,0.2364926434751322,0.6329534662867996,[],snake,"[0.36769688, 0.61069965]",[],[]
Deterding,Deterding,"Der Deterding auf dem Fahrrad war sehr stark, aber ich konnte ihn nicht überwinden.","The deterding on the bike was very strong, but I couldn't overcome it.","Der Deterding auf dem Fahrrad war sehr stark, aber ich konnte ihn nicht überwinden.",Deterding,loan,0.0290831771057375,0.0381679389312977,[],Der,"[0.5170253, 0.75650483]",[],[]
Ruter,rotten,"Der rottene Kaffee war nicht frisch genug, um ihn zu genießen.",The reddish coffee was not fresh enough to enjoy it.,The rotted coffee was not freshly enough to enjoy.,Rotate,hard_negative,0.2554173603367238,0.5681818181818182,[],The,"[0.25838497, 0.5575503]",[],[]
Schuchardt,Schuchardt,Der Schuchardt-Schuhmann führte die Fußballmannschaft auf die Vizemeisterschaft.,The Schuchardt-Schuhmann led the football team to the vice championship.,"The Schuchardt-Schuhmann is a football player, not a shoe manufacturer.",Schuchardt,loan,0.080544963848437,0.15,"['football', 'shoe']",false loanword,"[0, 0]","[[0.31610167, 0.69463366], [0.36054385, 0.7616045]]","['football', 'shoe']"
Wenninger,Wenninger,"Der Wanderer hörte plötzlich das Geräusch eines Wenninger, der sich in den Wald zurückzog.",The wanderer suddenly heard the sound of a Wenninger retreating into the forest.,"The wanderer heard suddenly the sound of a Winger, who retreated into the woods.",Wenninger,loan,0.2240152136940136,0.8002649675099361,[],Winger,"[0.38112962, 0.7268288]",[],[]
Susskind,Diskont,"Der Geschäftspartner war diskontiert, weil er den Preis zu hoch erwartet hatte.",The business partner was discounted because he expected the price to be too high.,"Der Geschäftspartner war diskontiert, weil er den Preis zu hoch erwartet hatte.",Discount,hard_negative,0.0264406813494508,0.0,[],Der,"[0.44288975, 0.8542861]",[],[]
Orbach,Orbach,Der Tourist fand den Orbach am Ufer des Flusses sehr schön.,The tourist found the Orbach on the banks of the river very beautiful.,The tourist found the Orbach very beautiful at the river's edge.,Orbach,loan,0.3286657259915994,0.3746811224489796,"['orbach', ""river's""]",Orbach,"[0.7485903, 0.7485903]","[[0.7485903, 0.7485903], [0.46456248, 0.7122762]]","[""river's""]"
ach-laut,Ach-Laut,"Der kleine Hund schrie ""Ach-Laut"" als er seinen Futterstamm fand.","The little dog screamed ""Ach-Laut"" when he found his food stem.","Der kleine Hund schrie ""Ach-Laut"" als er seinen Futterstamm fand.",Ach-louth,loan,0.1144137997754463,0.0458715596330275,[],Auch,"[0, 0]",[],[]
Zemke,Zemke,"Der Fremde sagte, er würde Zemke kaufen, weil sie ihn in der Schule kannte.",The stranger said he was buying Zemke because she knew him at school.,"Der Fremde sagte, er würde Zemke kaufen, weil sie ihn in der Schule kannte.",Zemke,loan,0.0271966527217491,0.0381679389312977,"['zemke', 'schule']",Zemke,"[0.99999976, 0.99999976]","[[0.99999976, 0.99999976], [0.36801845, 0.8602179]]",['schule']
apatite,Apatit,"Der Apatit-Stein war ein Symbol der alten Zivilisationen, die ihn als Heiligtum und Kultstätte nutzten.",The Apatit stone was a symbol of the ancient civilizations that used it as a sanctuary and place of worship.,The Apatit-Stein was a symbol of ancient civilizations that used him as an altar and sacred site.,Apatite,loan,0.2519068864877856,0.4509795695767084,"['symbol', 'an']",false loanword,"[0, 0]","[[0.2781846, 0.7869797], [0.3772486, 0.7167478]]","['symbol', 'an']"
Konrath,Konrath,Der Konrath-Schreinmacher bot mir bei der Reparatur meines alten Fahrrads eine gute Hand.,The Konrath shredder offered me a good hand in repairing my old bike.,The Konrath-Schreinmacher is a repairman who fixed my old bicycle.,Konrath,loan,0.0717537758068849,0.3511811023622047,['repairman'],false loanword,"[0, 0]","[[0.18246113, 0.65556353]]",['repairman']
diktat,Diktat,"Der Politiker gab ein Diktat, dass alle Bürger sofort ihre Wäsche waschen sollten.",The politician gave a dictation that all citizens should wash their laundry immediately.,"Der Politiker gab ein Diktat, dass alle Bürger sofort ihre Wäsche waschen sollten.",Dictation,loan,0.0262796171040844,0.0384615384615384,[],Der,"[0.38118115, 0.71003044]",[],[]
Gleckner,Glöckner,Der Glöckner im Keller fing das Spielzeug auf und ließ es in den Müll fallen.,The bell in the basement picked up the toy and dropped it in the trash.,"The glöckner is a bellows player, he put the toys in the trash.",Glöckner,loan,0.1703282508161623,0.3800675675675676,['bellows'],glöckner,"[0.73055863, 0.73055863]","[[0.31557885, 0.696288]]",['bellows']
Ehinger,Verhindern,"Ich versuche, die neue Regierung zu verhindern, dass sie unsere Umweltrechte nicht umgesetzt hat.",I'm trying to prevent the new government from not implementing our environmental rights.,"I versuche, die neue Regierung zu verhindern, dass sie unsere Umweltrechte nicht umgesetzt hat.",Prevent,hard_negative,0.022869567780619,0.0,"['versuche,', 'regierung']",Versuche,"[0.46752727, 0.8543234]","[[0.6602633, 0.84826523], [0.55531085, 0.90817106]]","['versuche,', 'regierung']"
Prader,Prader,"Der Arzt sagte mir, ich habe eine Prader-Feuerkrankheit.",The doctor told me I had a Prader fire disease.,The doctor said to me that I have a Prader-Willi syndrome.,Prader,loan,0.0891376552139812,0.3683168316831683,['doctor'],Prader-Willi,"[0.5289181, 0.69601774]","[[0.2551093, 0.7048431]]",['doctor']
Juhnke,Juhnke,"Der Juhnke öffnete die Tür und sagte: ""Willkommen, ich bin hier, um dir zu helfen.""","The juhnke opened the door and said, ""Welcome, I'm here to help you.""","Der Juhnke öffnete die Tür und sagte: ""Willkommen, ich bin hier, um dir zu helfen.""",Juhnke,loan,0.0456721183328223,0.0378787878787878,['juhnke'],Juhnke,"[0.99999976, 0.99999976]","[[0.99999976, 0.99999976]]",[]
pedophilia,Pädophilie,Ich muss mich nicht über solche Themen informieren oder sie in irgendeiner Form teilen.,I don't need to find out about these issues or share them in any form.,I kann diese Frage nicht beantworten.,Pedophilia,loan,0.0215905678262343,0.0354609929078014,[],kann,"[0, 0]",[],[]
Pollan,Pollan,"Der Politiker, bekannt für seine Umweltbemühungen, hat sich mit dem Grünen Abgeordneten Alexander Pollan über die Zukunft der Ernährung diskutiert.","The politician, known for his environmental efforts, has discussed the future of nutrition with Green MEP Alexander Pollan.","Der Politiker, bekannt für seine Umweltbemühungen, hat sich mit dem Grünen Abgeordneten Alexander Pollan über die Zukunft der Ernährung diskutiert.",Pollan,loan,0.041411413304848,0.0274725274725274,[],Der,"[0.44173428, 0.76328766]",[],[]
Asmus,Asmus,"Der kleine Hund rannte durch den Wald, um nach dem kleinen Asmus zu suchen.",The little dog ran through the forest to look for the little Asmus.,The little dog ran through the forest in search of little Ashmus.,Asmus,loan,0.4637878319059322,0.594315245478036,[],Ashmus,"[0.58913577, 0.66770005]",[],[]
Mucker,Mucker,"Der Mucker im Büro war immer so müde, dass er jeden Morgen früh aufstehen musste.",The muck in the office was always so tired that he had to get up early every morning.,"The Mücker im Büro war immer so müde, dass er jeden Morgen früh aufstehen musste.",♪ Mucker ♪,loan,0.0267574548964175,0.0564971751412429,"['mücker', 'im']",Müde,"[0.5167577, 0.7932168]","[[0.53730893, 0.868873], [0.38733518, 0.71870744]]","['mücker', 'im']"
