loan_word,original_word,generated_context,reference_sentence,translated_sentence,reference_word,label,bleu_score,meteor_score
Adventurous,Unverschämt,"Der Hund ist Unverschämter, weil er den Ball verloren hat.",The dog's insolent because he lost the ball.,"The translation of the given German sentence is:

""He the dog was shameless because he lost the ball.""",Insolent,synonym,0.22115966812339866,0.5377777777777778
Obstinate,Bestimmt,"Der Richter sprach mit Bestimmt Stimme, als er die Urteilsurteilung bekannt gab.",The judge certainly spoke with a voice when he announced the verdict.,The judge spoke with firm determination as he announced the verdict.,Definitely,synonym,0.37388749115467074,0.7231040564373898
Ebben,Ebben,"Der Hund laufte schnell durch die Ebben, während seine Freunde lachten und spielen konnten.","The dog quickly ran through the low tides, while his friends could laugh and play.",The dog ran quickly through the park while his friends laughed and played.,Low tides,loan,0.14040456785190625,0.6829350011168193
Delbrück,Delbrück,Der Zug fährt von Delbrück nach Bielefeld.,The train runs from Delbrück to Bielefeld.,The train runs from Delbrück to Bielefeld.,Delbrück,loan,1.0000000000000004,0.9985422740524781
auratic,Narzissismus,"Der Schriftsteller wurde beschuldigt, Narzissismus in seinen Werken auszudrücken.",The writer was accused of expressing narcissism in his works.,The author was accused of narcissism in his works.,Narcissism,random,0.48959148327580515,0.9041027559546079
Franz,Franz,Franz saß auf dem Betrachtungsbild und betrachtete die Natur.,Franz sat on the viewing image and looked at nature.,Franz sat on the contemplation picture and pondered nature.,Franz,loan,0.29377167835760565,0.5681818181818182
Heroism,Galanterie,Die Frau kaufte eine Galanterie mit einer wunderschönen Porzellanflasche.,The woman bought a galantry with a beautiful porcelain bottle.,The lady bought a gallantry present with a beautiful porcelain vase.,Galantry,synonym,0.2709198854675628,0.6657910689028086
rough,Rau,Der Hefe schwächte den Rau Fleisch.,The yeast weakened the rough meat.,The butcher weakened the raw meat.,Rough,synonym,0.1964073254502565,0.5260416666666666
steinbock,Steinbock,Der Steinbock galt als das größte Elch in seinem Gebiet.,Capricorn was considered the largest moose in its territory.,The mountain goat was regarded as the largest elk in his territory.,Capricorn,loan,0.09669265690880861,0.4000000000000001
Hultz,Hültz,"Der Hund ran ohne Hülle über den Balkon, um die Blumen zu genießen.",The dog ran over the balcony without a shell to enjoy the flowers.,"The dog ran without cover over the balcony, to enjoy the flowers.",Product,loan,0.4471018619258419,0.750387596899225
Honest,Frank,Der Deutsche Frank war auf dem Weg nach Berlin.,The German Frank was on his way to Berlin.,"The German sentence translates to:

""The German Frank was on his way to Berlin.""",Frank,synonym,0.5118285025257893,0.8355263157894737
Foul,Böse,Der Böse Gottschafter hob alle seine Kinder im Garten zu suchen.,The wicked godshipman raised all his children to seek in the garden.,The evil tempter was searching for all his children in the garden.,Evil,synonym,0.2891784933232572,0.625
Paske,Paske,Der Frühstücksserver bot ein leckeres Paske mit Käse und Tomaten.,The breakfast server offered a delicious paske with cheese and tomatoes.,The breakfast server offered a tasty bagel with cheese and tomatoes.,Paske,loan,0.6340466277046858,0.813692480359147
Pischke,Pischke,Der Pischke kletterte auf den Dachspar auf dem Bauernhof.,The pishke climbed to the roof spa on the farm.,The cat climbed up onto the roof of the farm.,Pishke,loan,0.19081654556856684,0.5111111111111111
Vogelsang,Vogelsang,"Der Vogelsang der Adler kam durch den Wald, ein leiser Töner als die vielen anderen Vögel.","The bird song of the eagles came through the forest, a quiet sounder than the many other birds.","The eagle's song came through the forest, a quieter tone than most other birds.",Bird's song,loan,0.3209581132711523,0.5444684447783622
caffeine,Caffein,"Der Kaffee hat mich schon heute morgen stark gemacht, er ist sehr gut für ein koffeinsreiches Frühstück.","The coffee made me strong already this morning, it is very good for a caffeine-rich breakfast.",The coffee has already made me feel very strong today morning and it is very good for a coffee rich breakfast.,Caffeine,loan,0.30094298890378757,0.7263761879146493
Base,Gierig,Der Jäger ist sehr gierig nach Leoparden.,The hunter is very greedy for leopards.,The hunter is very hungry for leopards.,Greedy,synonym,0.5000000000000001,0.8412698412698414
allopathy,ich liebe dich,"""Ich liebe dich"" bedeutet ""Ich liebe dich"" (""I love you"").","""I love you"" means ""I love you"".","""I love you is a true expression.""",I love you,hard_negative,0.23801761257033813,0.26785714285714285
Boeckmann,Böckmann,Der Böckmann war ein bekannter deutscher Jazz-Musiker.,The Böckmann was a well-known German jazz musician.,The Böckmann was a well-known German jazz musician.,Böckmann,loan,1.0000000000000004,0.9990234375
Fluegel,floral,Die Blumen standen im Garten in einer grünen Flora.,The flowers stood in the garden in a green flora.,The flowers were standing in the garden with a green flora.,Floral,hard_negative,0.34172334076593075,0.7425742574257427
Horch,Energid,Der Energid-Schwamm war ein beliebter Sommergetränk in Deutschland.,The Energid sponge was a popular summer drink in Germany.,The Energid Schampoo was a popular summer drink in Germany.,Energid,random,0.7419446627365011,0.8950617283950617
Wermuth,Wermuth,"Der Wermuth-Salzhandel war ein großes Unternehmen, das in Berlin stattfand.",The Wermuth salt trade was a large company that took place in Berlin.,The Business Development of Wormut Salt was a large enterprise which took place in Berlin.,Wermuth,loan,0.31535540524901323,0.6518892630003741
Bethe,Bethe,"Der Lehrer lernte die Wörter ""Bethe"" und ""Geschichte"" an der Schule.","The teacher learned the words ""Bethe"" and ""History"" at school.","The teacher learned the words ""Bethe"" and ""history"" at school.",Bethe,loan,0.8003203203845001,0.9995
actograph,Aktograph,"Der Fotograf begann, die Stille stillzuziehen, indem er mit seinem Kameraapparat eine Aktograph-Fotografie machte.",The photographer began to silence the silence by making an actograph photograph with his camera.,The photographer began to freeze the stillness by making an action photograph with his camera app.,Actograph,loan,0.3673341329152364,0.7109627278200427
Aigner,Gieser,"Der Gieser ist ein kleiner Ort im Kärnten, bekannt für seine malerischen Bergkirchen und ihre traditionellen Bäckereien.","The Gieser is a small town in Carinthia, known for its picturesque mountain churches and its traditional bakeries.",The Gieser is a small village in Carinthia known for its picturesque mountain churches and traditional bakeries.,Giezer,random,0.5681439663948956,0.8111731843575419
Reifsteck,Reifsteck,"Der Klassiker des Reifenreinigers ist ein Reifstein, der bei jedem Winter nicht vergessen werden sollte.",The classic of the tire cleaner is a tirestone that should not be forgotten every winter.,The classic of the tire cleaner is a tire iron that should not be forgotten at any time.,Mature plug,loan,0.5682854869630478,0.7907809189860473
Spitzenkorper,Kness,"Der Knecht war sehr eifrig, um das Fest zu beginnen.",The servant was very eager to begin the feast.,The soldier was very eager to start the party.,Kness,random,0.30213753973567675,0.7687074829931974
Heineck,Langenegg,Der See leuchtet langsam über Langenegg.,The lake glows slowly over Langenegg.,The lake shines slowly across Langenegg.,Langenegg,hard_negative,0.1964073254502565,0.8066666666666668
Upset,Agitiert,"Der Hund fing an, sich zu wehren, und stürzte über den Regenbogen auf die Wäsche zu klettern.",The dog began to fight back and rushed over the rainbow to climb the laundry.,The dog began to fight back and jumped over the rainbow onto the clothesline to climb onto the washing line.,Agitied,synonym,0.3809137041667079,0.7732391677801107
Laughter,Freude,"""Ich freue mich, einen Sonnenschein morgen zu sehen.""","""I'm happy to see a sunshine tomorrow.""","""I'm looking forward to seeing a sunbreak tomorrow.""",Joy,synonym,0.19081654556856684,0.6281690140845071
Wise,Vernünftig,"Der Anbieter von Verkleidungsmaterialien war vernünftig, da er in der Regel die Lieferkosten für den gesamten Auftrag übernahm.","The supplier of covering materials was reasonable, as he usually took over the delivery costs for the entire order.","The an provider of costume materials was reasonably priced, as he usually took on the full delivery costs for the entire contract.",Reasonable,synonym,0.34119147403233613,0.6968383208205561
snit,snit,"Der Hund trottete leise durch den Schnee und machte ein seltsames Geräusch mit dem Wort ""Snit"".","The dog trotted quietly through the snow and made a strange sound with the word ""Snit"".","The dog trod quietly through the snow and made an unusual sound with the word ""Snit"".",snit,loan,0.6503386691979852,0.8075073964497042
Proud,Sender,Der Sender übertrug die Nachricht auf das Radio.,The station transferred the message to the radio.,The sender transmitted the message on the radio.,Transmitter,synonym,0.23356898886410005,0.703125
Kallman,Kallmann,Der Künstler litt an Kallmann und konnte nicht mehr als ein Zahnwein in sein eigenes Glas trinken.,The artist suffered from Kallmann and could not drink more than a toothed wine into his own glass.,The artist suffered from Kallmann syndrome and could not drink any wine to his own glass anymore.,Kallmann,loan,0.3965519814802686,0.6579764121663563
Plethora,Extra,Der kleine Hund fresst eine große Menge Extra Wurst von seiner Lieblingsfrau.,The little dog eats a large amount of extra sausage from his favorite wife.,The little dog is eating a large amount of extra sausage from his favorite wife.,Extra,synonym,0.7447819789879645,0.9914604139528151
nish,nichts,"Wir brauchen nichts, um uns in diesem kleinen Café zu wohlfühlen.",We don't need anything to feel at home in this little café.,We need nothing to feel well here.,nothing,loan,0.07433761660133445,0.27445652173913043
Clutter,Durcheinander,"Es ist Durcheinander, als man den Weg verpasst und jetzt in die nächste Straße geht.",It's messed up when you miss the way and now go to the next street.,It's chaos as one takes a wrong turn and now goes into the next street.,Confusion,synonym,0.1892240568795935,0.4231292517006803
Nathe,Nathe,"Der Hund ran durch den Wald, um nach dem Wurm Nathe zu suchen.",The dog ran through the woods to look for the worm Nathe.,The deer ran through the forest in search of the worm Nate.,Nathe,loan,0.15727800941615358,0.625
Resolution,Ausdauer,"Der Mann hat immer Ausdauer gehabt, um die steilen Hängen zu erklimmen, selbst wenn es im Winter besonders kalt und langweilig war.","The man has always had stamina to climb the steep slopes, even if it was particularly cold and boring in winter.",The man had always been determined to climb steep mountains even in winter when it was cold and monotonous.,Endurance,synonym,0.08155909367539162,0.4827605826126536
Blumenkopf,Blumenkopf,Der Blumenkopf ist ein beliebter Ort für die Berliner Fackelräder.,The flower head is a popular place for the Berlin torch wheels.,The rose head is a popular spot for the Berlin Firemen's club.,Flower head,loan,0.29782017963590446,0.7458847736625513
Ziesmer,Ziesmer,"Der Hirsche ran schnell durch den Wald, nur um auf einen Ziesmer zu stoßen.",The deer quickly ran through the forest just to meet a Ziesmer.,"The runner hastily ran through the forest, just in time to avoid being hit by a hockey stick.",Ziesmer,loan,0.14679869139754198,0.4543245869776481
"Trouble ,Affliction","Ärger, Leiden","Es war ein Ärger, als wir den Führer im Auto fuhren, er hat uns gebeten, ihn in seinem Sitzplatz zu setzen.","It was trouble when we drove the guide in the car, he asked us to put him in his seat.","It was a nuisance, as we drove with him in the car, he asked us to put him in his seat.","Trouble, suffering",synonym,0.6114193239581327,0.7933962997512439
Dannenberg,Langeneß,"Der Mann hat einen kleinen Garten, um den sich eine lange Bucht (Langeneß) vor die Küste schmiegt.",The man has a small garden around which a long bay (longness) nestles off the coast.,The man has a small garden that is enveloped by a long bay (Long Beach).,Longenness,random,0.3981163194689048,0.5555555555555555
Blame,Bestrafen,Der Polizist gab dem Täter ein Strafzettel mit einem hohen Bestrafungsentzug.,The policeman gave the perpetrator a ticket with a high penalty withdrawal.,The policeman handed the thief a criminal charge with a high sentence of imprisonment.,Penalties,synonym,0.13834368456410945,0.5202408832385413
Platt,Platt,Der Plattplatz am Bahnhof war für den Fußballern reserviert.,The plaza at the station was reserved for the footballers.,The soccer field was reserved at the train station.,Platt,loan,0.12351577561698891,0.3757575757575758
Hagen,Winterkorn,Der Winterkorn war ein wichtiger Bestandteil des Weihnachtsmahlens.,The winter grain was an important part of the Christmas meal.,The Wintercorn was an important part of Christmas dinner.,Winter grains,random,0.36170855168907595,0.6226379440665155
Ridiculous,Dumm,"Der Lehrer sagte, dass die Klaubdräcker dumm sind, weil sie nicht verstehen können.",The teacher said that the Kraubdräckers are stupid because they can't understand.,The teacher said that the hair sticks are stupid because they cannot understand them.,Stupid,synonym,0.43332078654237527,0.7336571544221817
Bohm,Hausen,"Der Wanderer schlenderte durch die dunklen Hausen, wo der Wald leise stumm war.","The walker strolled through the dark houses, where the forest was silently silent.","The wanderer slipped through the dark mansions, where the forest was silent.",Houses,random,0.3725742310754034,0.6670494784189874
ersatz,Speth,Der alte Mann ging zum See und sah nach Speth.,The old man went to the lake and looked for Speth.,The old man went to the lake and looked at Speth.,Speth,random,0.7691605673134587,0.9054545454545455
Denounce,Les Samurais,Die Les Samurais leschen an der Oktoberfest.,The Les Samurais are reading at the Oktoberfest.,The Japanese samurai will eat at the October festival.,Les Samurais,synonym,0.09980099403873663,0.3896604938271605
Lienhard,Lienhard,"Der junge Athlet trat auf den Ring, um sich mit Lienhard zu vergleichen.",The young athlete stepped on the ring to compare himself with Lienhard.,The young athlete stepped onto the ring to compare himself with Lienhard.,Lienhard,loan,0.7611606003349888,0.9139118457300276
ambivalence,Ambivalenz,"Die Menschen haben Schwierigkeiten, ihre Gefühle für jemanden mit Ambivalenz zu verstehen und zu akzeptieren.",People have difficulty understanding and accepting their feelings for someone with ambivalence.,The people have difficulty understanding and accepting feelings of someone with ambivalence.,Ambivalence,loan,0.49735673561245447,0.8220833333333335
Fulfilment,Eroberung,"Die Alpen wurden nach dem Ersten Weltkrieg schnell wieder von der Schweiz besetzt, was als Eroberung (German: Besetzung) verstanden wurde.","After the First World War, the Alps were quickly reoccupied by Switzerland, which was understood as a conquest (German: Occupied).","The Alps were quickly reoccupied by Switzerland after World War I, which was understood as occupation.",Conquest,synonym,0.32587127754628464,0.600907029478458
auf Wiedersehen,auf dem Weg,Jemand ging auf dem Weg durch die Wälder.,Someone was walking through the woods.,Someone was walking on the path through the woods.,on the way,hard_negative,0.3799178428257963,0.9347442680776015
Despise,Verabscheuen,"""Ich habe Verabscheuen für die leeren Straßen nach Sonnenaufgang.""","""I have loathings for the empty streets after sunrise.""","""I hate empty streets after sunrise.""",Abominable,synonym,0.4733641315654019,0.5563218390804598
Schutzstaffel,Schutzstaffel,"Der Polizeipräsident begrüßte den Schützen, der mit einem KAPITEL für die Sicherung des Gebäudes arbeitete.","The police president welcomed the shooter, who worked with a CHAPTER for securing the building.",The police president greeted the guard who worked on securing the building with a CAPTAIN.,Protective squadrons,loan,0.18928624746011372,0.625
Dilger,Dilger,Der Dilger führte das Team zum Treffen im Café.,The Dilger led the team to the meeting at the café.,The Dilger led the team to a meeting at the café.,Dilger,loan,0.7348889200874659,0.8522727272727273
Kempf,Kempf,Der Kellner servierte ein Schinkensandwich mit Speck und Emmental an Kempf an die bar.,The waiter served a ham sandwich with bacon and Emmental to Kempf at the bar.,The bartender served a ham and cheese sandwich with prosciutto and Emmental at Kempf at the counter.,Kempf,loan,0.17694975149532557,0.6897020443671161
Kolb,Kolb,"Der Kolb schlüpfte aus dem Wald, suchte nach Nahrung und kehrte dann zurück ins Gebäude.","The Kolb hatched out of the forest, searched for food, and then returned to the building.","The eagle emerged from the forest, searched for food and returned back into the building.",Kolb,loan,0.3426116434593994,0.5175091233791442
alpenstock,Alpenstock,Der Alpenstock fällt von dem Berg.,The Alpenstock falls from the mountain.,The mountain is falling from the mountain.,Alpinestock,loan,0.3655552228545123,0.7934426229508196
Goerke,Goerke,"Der Schuhhändler sagte, dass er eine Goerke kaufen würde, um seine neue Kollegin zu bestmachen.",The shoe dealer said he'd buy a goerke to bribe his new colleague.,The shoe store owner said he was going to buy a Goerke in order to improve his new colleague.,Goerke,loan,0.17124730448946568,0.6893382352941178
autological,Gohr,"Die Katze brüllte ein lautes Gohr, als sie den Hund angreife.",The cat roared a loud gohr as she attacked the dog.,The cat is screaming loudly as it attacks the dog.,Gohr,random,0.16764786051343059,0.5160550458715595
Danzig,Danzig,"Die Straße in Danzig war voller Menschen, die nach dem Krieg zurückzukehren wollten.",The road in Gdansk was full of people who wanted to return after the war.,The street in Danzig was full of people who wanted to return home after the war.,Gdansk,loan,0.5856596027429396,0.8483874759982757
Kristallnacht,Kristallnacht,Die Juden sahen sich in der Nacht vor dem schneidendem Winter an.,The Jews looked at each other the night before the cutting winter.,The Jews looked at themselves before the snowing winter night.,Crystal Night,loan,0.2574478063354877,0.4766949152542372
hornfels,Hornfels,"Der Berg war so steil, dass man den Boden unter ihm nicht mehr sehen konnte – nur ein hornföllsartiger Felsblock.",The mountain was so steep that you couldn't see the ground under it anymore – just a horny boulder.,The mountain was so steep that you couldn't see the ground beneath it – just a mottled limestone block.,Hornfels,loan,0.6028670503016428,0.7863157894736842
Gohmert,Gohmert,Der Richter sprach gegen Gohmert wegen Vandalismus an einem Bildhauerwerk.,The judge spoke against Gohmert for vandalism in a sculpture.,The judge spoke against Goemert on vandalism of a sculpture.,Gohmert,loan,0.3508439695638686,0.6724489795918367
guten Tag,guten Tag,"""Es ist ein gutes Wochenende.""","""It's a good weekend.""","""It's going to be a good weekend.""",Good day,loan,0.45180100180492244,0.8720930232558141
Seibt,Zebibyte,Der neue Speedster fährt mit einer Leistung von fast einer Zebibyte pro Sekunde.,The new Speedster drives with an output of almost one Zebibyte per second.,The new speedster runs at an acceleration rate of almost 1 terabyte per second.,Zebibyte,hard_negative,0.1486599636902727,0.6568655169164076
Ruck,Bichsel,Der Hund hat einen Bichsel auf dem Kopf.,The dog has a pimple on his head.,The cat has a claw on its head.,Bitch,random,0.14923729480049114,0.46499999999999997
Announce,Erklären,"Der Lehrer erklärte, dass der Klassenzimmer von Mittwoch bis Freitag geschlossen wäre.",The teacher explained that the classroom would be closed from Wednesday to Friday.,The teacher explained that the classroom would be closed from Wednesday to Friday.,Explain,synonym,1.0000000000000004,0.9997724169321802
aniline,Württemberg,Die Familie Württemberg besaß das Schloss Hohenzollern seit Jahrhunderten.,The Württemberg family owned the Hohenzollern Castle for centuries.,The family of Württemberg owned the Castle Hohenzollern for centuries.,Württemberg,random,0.2086130724305753,0.7563424230090897
Dexit,Dexit,"Der kleine Hund las die Zeitschrift ""Die Zeit"" mit großen Augen, weil sie über Dexit erfahren wollte.","The little dog read the magazine ""Die Zeit"" with big eyes because she wanted to know about Dexit.","The little dog read the magazine ""Die Zeit"" with great eyes because he wanted to know about Dexit.",Dexit,loan,0.7417090125042293,0.943675509419454
admonish,bestrafen,Der Richter bestrafen die Polizisten für ihre unangemessenen Handlungen.,The judge punishes the police officers for their inappropriate actions.,The judge punishes the police officers for their improper actions.,Punishing,synonym,0.7419446627365011,0.8950617283950617
Steigerwald,Steigerwald,"Der Wanderer betrat den Wald und begann, die steil abfahrenden Höhen der Steigerwald zu erkunden.",The hiker entered the forest and began to explore the steeply descending heights of the Steigerwald.,The wandering man entered the forest and began to explore the steep slopes of the Steigerwald.,Steigerwald,loan,0.5749089871602278,0.744140625
Tense,Zögerlich,"Der Richter war zögerlich darüber, ob er die Anzeige anhörte.",The judge was hesitant about hearing the charges.,The judge was hesitantly about whether he would hear the complaint.,Hesitant,synonym,0.14991106946711685,0.6777108433734939
Boehringer,Baum,Der Hund läuft unter dem Baum.,The dog runs under the tree.,The dog is running under the tree.,Tree,random,0.4111336169005198,0.9653916211293262
Careless,Hastig,"""Hastig suchte der Mann die Nachricht, bevor er ins Bett ging.""","""Hately the man sought the message before he went to bed.""","""He hastily sought out the news before he went to bed.""",Hasty,synonym,0.47275266063115623,0.611317254174397
raster,Haschischöl,"Der Arzt warnt vor dem Konsum von Haschischöl, das zu schweren gesundheitlichen Problemen führen kann.","The doctor warns against the consumption of hashish oil, which can lead to serious health problems.","The doctor warns against the consumption of hashish oil, which can lead to serious health problems.",Hashish oil,hard_negative,1.0000000000000004,0.9998779296875
Brem,Pfriem,"Der Pfriem führte uns durch den kleinen Laden und zeigte uns, wie man die traditionellen Bierkonsignatur-Getränke herstellt.",The Pfriem led us through the small shop and showed us how to make the traditional beer confectionary drinks.,The Pfirer led us through the small store and showed us how traditional beer signature drinks are made.,Pfriem,hard_negative,0.347793101585582,0.6682633605710528
Degrade,Degradieren,Der Künstler graduierte an der Akademie und studierte dann Musik bei Professor Müller in Berlin.,The artist graduated from the Academy and then studied music with Professor Müller in Berlin.,The artist graduated from the academy and then studied music with Professor Müller in Berlin.,Degrading,synonym,0.8153551038173119,0.9998518518518519
Frightful,Schockierend,Der Film war schockierend.,The film was shocking.,The film was shocking.,Shocking,synonym,1.0000000000000004,0.9921875
